id,name,sku
4976,Ginger Flavor Nat WONF 104333- Callisons,1220142
4977,Pineapple 28-08-0103- Edgar Weber,1220143
4978,Huckleberry N&A Type 109436- Callisons,1220144
4979,Gingerspice GA64 (SF#220-62)- Virginia Dare,1220145
4980,Kiwi Flavor N&A KI-20639- S&S,1220146
1217,10% KIWI FLAVOR BASE,1220147
1218,MAI TAI FLAVOR BASE - MADE IN HOUSE,1220148
4981,TIRAMISU FLAVOR # 26-95-0016- WEBER DISCONTINUED,1220149
4982,Brandy Flavor 199-31-C MWNI WC- Weber,1220150
4983,Irish Creme N&A PO650477 F&L- Halal,1220151
4984,Mexican Coffee 26-99-0090 (SF#230-25)- Weber,1220152
4985,Triple Sec Flavor TS-102- Mission Hasegawa,1220153
4986,Macadamia N&A NU-228 (L-19606-R)- Hasegawa Mission,1220154
4987,Lemonade Type Flavor 75.90269- Bell,1220155
4988,Peach Flavor Natural WONF 105.51595- Bell,1220156
4989,ROOT BEER FLAVOR # 26-86-0210- WEBER,1220157
4990,Natural Grape Flavor 4959-19093- Comax,1220158
4991,Mango 22-18-0073 Nat. WONF Weber,1220159
4992,Kiwi 92-098 (SF#60-51)- Flavorchem,1220160
4993,Kiwi Art. Flavor 203K49- FFS,1220161
4994,Blueberry N&A BS12 (SF#220-8)- Virginia Dare,1220162
4995,Pineapple Flavor 28-08-0103 MWNI Lehua Group- Ed Weber,1220163
4996,PUMPKIN PIE FLAVOR #204L57- FFS,1220164
4997,SPECIAL CREAMED COCONUT # 19083- Franklin Baker,1220165
4998,Mandarin Orange MWNI 22-21-0218 Weber- Halal Replacement,1220166
4999,Marshamallow N&A 26-21-0203 Weber- Halal Replacement,1220167
5000,Peach Flavor N&A 3816-23352 Comax,1220168
5001,Grape Flavor N&A 35383- Comax,1220169
1219,GRENADINE FLAVOR BASE - MADE IN HOUSE,1220170
5002,Cherry Natural Flavor CH-54221- S&S Halal,1220171
5003,Strawberry Flavor N&A 26-93-0060 Weber,1220172
5004,Watermelon Nat. WONF 149.26403- Bell Falvors,1220173
5005,Lime Emulsion S&S LI-54223- Halal Replacement for LI-20640,1220174
5006,Almond NA21- Virginia Dare,1220175
5007,Lemon Nat. WONF SF-0242.2- Sovereign Flavors for Smade Lemoande,1220177
5008,Lemon Nat. WONF SF-3429.1- Sovereign Flavors,1220178
5009,Strawberry Nat. WONF SF-16996.1- Sovereign Flavors,1220179
5010,Hazelnut Nat. 859.04120U FONA Flavors,1220180
5011,Butter Rum 28-89-0008 MWNI,1220181
5012,Coconut Nat. Flavor SF72- Virginia Dare,1220182
5013,Sugar Cookie Flavor NX56- Virginia Dare,1220183
5014,Shortbread Nat. Flavor 232-25-B- Edgar Weber,1220184
5015,Vodka-Type Flavor Nat. 21.80696- Bell Flavors,1220185
5016,Alcohol Booster-Type Flavor Nat. 21.33745- Bell Flavors,1220186
5017,Menthol Flavor Natural 113.90468- Bell Flavors,1220187
5018,Potato Type Flavor Nat. 28-24-0098 - Edgar Weber,1220188
5019,Horseradish Type Flavor Nat. - Edgar Weber,1220189
5020,Capsicum Extract 21-95-0067 -Edgar Weber,1220190
5021,Blueberry Nat ELF1130 - Flavor Producers,1220191
5022,Apple Green Type 3.18456 Artificial.,1220192
5023,Red & Extreme Zero Flavor N&A #432505,1220193
5024,Honey Crisp Apple Flavor Nat. 109932- Callisons,1220194
5025,Tequila Flavor Nat. 21.9075- Bell Flavors,1220195
5026,Agave Flavor 21.38812- Bell,1220196
5027,Tequila Mezcal Flavor 21.45125- Bell Flavors,1220197
5028,Tamarind Flavor Nat. 22-96-0056- Weber,1220198
5029,Cherry N&A 26-03-0093 (SF#230-51)- Weber,1220199
5880,Coffee Cold Brew 43.48445,1220200
5974,Lychee Nat. Flavor LY-22429- Disc,1220201
5977,Strawberry Flavor 30-88-0034 Art.- Edgar Weber disc,1220202
6231,Whiskey Flavor 28-19-0010 Edgar Weber,1220203
6232,Black Pepper Flavor Natural 21-23-0002 Edgar Weber,1220204
6233,Alcohol Burn Flavor 28-20-0183 Edgar Weber,1220205
6239,Whiskey Type Bourbon 21.40261,1220206
1220,Sweet & Sour 3+1 TEST,1220601
5030,Invert Cane Sugar T-50 #404916,1221000
5031,Clover Blend Honey for Glory Bee Foods,1221001
5032,Clover Blend Honey #20810- Eagle Beverage,1221002
5033,75/760-02 Caramelized Sugar Syrup EFP Enterprise,1221003
5034,Organic Light Blue Agave Syrup,1221004
5035,Liquid Butter Concentrate #65460 - Butterbuds,1222000
5036,PROPYLENE GLYCOL,1223000
5037,Cloud Emulsion CD57461- S&S,1223001
5038,QUILLAJA LIQUID QE-693- Foamation Ingredieon,1223002
5039,1223003,1223003
5973,Glycerine 99.7% #101108 Batory,1223004
5040,PEACH JUICE CONCENTRATE,1224000
5041,CLARIFIED Lime Juice Concentrate- Nielsen's #441,1224001
5042,STRAWBERRY JUICE CONCENTRATE,1224002
5043,Plum juice Concentrate- Fruitsmart 68 Brix,1224003
5044,Red Raspbery Juice Concentrate Brix-65,1224004
5045,Pineapple Juice Concentrate 213802,1224005
5046,Organic Watermelon J/C 65Bx,1224006
5047,BLUEBERRY JUICE CONCENTRATE,1224007
5048,Blackberry JUICE Concentrate FruitSmart,1224008
5049,Organic Passionfruit Juice Concentrate 32 Bx,1224009
5050,Organic Lime Juice Concentrate 55Bx,1224010
5051,Sour Cherry Juice Concenrate 68 Brix- Fruitsmart,1224011
5052,Orange Juice Concentrate (Non-clarified),1224012
5053,Lemon Juice Concentrate VP244- Vita-pakt,1224013
5054,50% Passion Fruit Juice Concentrate,1224014
5055,Dark Sweet Cherry Juice Concentrate,1224015
5056,Apple Juice Concentrate 70 Bx,1224016
5057,MANGO CONCENTRATE,1224017
5058,Clarified Orange Juice Concentrate 58 brix,1224018
5059,Pomegranate J/C 65 Brix-FruitSmart,1224019
5060,Organic Orange Juice Concentrate- 613401 MZ- 66Bx,1224020
5061,Organic Lemon Juice Concentrate 48Bx,1224021
5062,Kiwi Concentrate 65 Brix- Fruitsmart,1224022
5063,Concord Grape Juice SF110-4 JC 68 Brix,1224023
5064,Lime Juice Concentrate VP350,1224024
6018,Red Raspbery Juice Concentrate SMARTBLEND 65Brix,1224027
5065,BLACK TEA TREATTAROME BREWED EXTRACT,1224099
5066,Blackberry Puree with Seeds,1224100
5067,Strawberry Puree,1224101
5068,Raspberry Puree,1224102
5069,Kiwi Puree Seedless,1224103
5070,Peach Puree,1224104
5071,Organic PINK Guava Puree Single Strength Aeseptic,1224105
5072,Seedless Blackberry Puree,1224106
5073,Blueberry Puree #38 pail,1224107
5074,Banana Puree Aseptic 1000 Seedless,1224109
5075,Alphonso Mango Puree Single Strength #9500- iTi Tropicals,1224110
5076,Lime Puree 4 Fold Coarse Texture # 342,1224111
5077,Blackberry Puree Seedless,1224112
5078,Apple Essence -Fruitsmart,1224200
5079,Red Raspberry Essence,1224201
5080,Peach Essence SF110-6- Kerr,1224202
5081,Blackberry Essence,1224203
5082,Lemon Natural 75.25009 Bell- Halal Replacement,1224204
5083,Flavor-Pomegranate Enhancer 6368-OSF Flavors WFC,1224205
5084,OIL OF CASSIA # 29-05,1224206
5085,Peppermint Oil R-1048 (SF#150-4)- Tastepoint,1224207
5086,OIL OF CLOVE # 06-01- CP Kalsec,1224208
5087,Blueberry Essence,1224209
5088,DSL4 Caramel Color Class IV- Sethness Roquette,1225000
1221,Inhouse: 10% Liquid Red Color,1225001
1222,10% LIQUID GREEN COLOR,1225002
5089,Caramel Color YT25,1225003
